UniqID	ICD-10_Description	ICD-9_Description
010729	Other specified disorders of muscle	Other specific muscle disorders
010745	Other specified disorders of muscle	Other disorders of muscle, ligament, and fascia
010746	Disorder of muscle, unspecified	Unspecified disorder of muscle, ligament, and fascia
010714	Abscess of tendon sheath, unspecified site	Other disorders of synovium, tendon, and bursa
010711	Calcific tendinitis, unspecified site	Calcium deposits in tendon and bursa
010668	Trigger finger, unspecified finger	Trigger finger (acquired)
010669	Radial styloid tenosynovitis [de Quervain]	Radial styloid tenosynovitis
010666	Other synovitis and tenosynovitis, unspecified site	Synovitis and tenosynovitis in diseases classified elsewhere
010672	Other synovitis and tenosynovitis, unspecified site	Other synovitis and tenosynovitis
010670	Other synovitis and tenosynovitis, unspecified hand	Other tenosynovitis of hand and wrist
010671	Other synovitis and tenosynovitis, unspecified ankle and foot	Tenosynovitis of foot and ankle
010665	Synovitis and tenosynovitis, unspecified	Synovitis and tenosynovitis, unspecified
010695	Rupture of synovium, unspecified joint	Rupture of synovium, unspecified
010697	Rupture of synovium, other site	Other rupture of synovium
010701	Spontaneous rupture of extensor tendons, unspecified forearm	Nontraumatic rupture of extensor tendons of hand and wrist
010702	Spontaneous rupture of extensor tendons, unspecified hand	Nontraumatic rupture of extensor tendons of hand and wrist
010705	Spontaneous rupture of extensor tendons, unspecified thigh	Nontraumatic rupture of quadriceps tendon
010706	Spontaneous rupture of extensor tendons, unspecified lower leg	Nontraumatic rupture of patellar tendon
010703	Spontaneous rupture of flexor tendons, unspecified forearm	Nontraumatic rupture of flexor tendons of hand and wrist
010704	Spontaneous rupture of flexor tendons, unspecified hand	Nontraumatic rupture of flexor tendons of hand and wrist
010707	Spontaneous rupture of flexor tendons, unspecified lower leg	Nontraumatic rupture of achilles tendon
010700	Spontaneous rupture of other tendons, unspecified upper arm	Nontraumatic rupture of tendons of biceps (long head)
010708	Spontaneous rupture of other tendons, unspecified ankle and foot	Nontraumatic rupture of other tendons of foot and ankle
010709	Spontaneous rupture of other tendons, other	Nontraumatic rupture of other tendon
010698	Spontaneous rupture of unspecified tendon	Nontraumatic rupture of unspecified tendon
010710	Short Achilles tendon (acquired), unspecified ankle	Contracture of tendon (sheath)
010693	Ganglion, unspecified site	Ganglion, unspecified
010679	Ganglion, unspecified shoulder	Ganglion of joint
010686	Ganglion, unspecified shoulder	Ganglion of tendon sheath
010680	Ganglion, unspecified elbow	Ganglion of joint
010687	Ganglion, unspecified elbow	Ganglion of tendon sheath
010681	Ganglion, unspecified wrist	Ganglion of joint
010688	Ganglion, unspecified wrist	Ganglion of tendon sheath
010682	Ganglion, unspecified hand	Ganglion of joint
010689	Ganglion, unspecified hand	Ganglion of tendon sheath
010683	Ganglion, unspecified hip	Ganglion of joint
010690	Ganglion, unspecified hip	Ganglion of tendon sheath
010684	Ganglion, unspecified knee	Ganglion of joint
010691	Ganglion, unspecified knee	Ganglion of tendon sheath
010685	Ganglion, unspecified ankle and foot	Ganglion of joint
010692	Ganglion, unspecified ankle and foot	Ganglion of tendon sheath
010713	Plica syndrome, unspecified knee	Plica syndrome
010715	Other specified disorders of synovium and tendon, unspecified site	Other disorders of synovium, tendon, and bursa
010600	Other specified disorders of synovium and tendon, other site	Ossification of posterior longitudinal ligament in cervical region
010716	Other specified disorders of synovium and tendon, other site	Other disorders of synovium, tendon, and bursa
010719	Unspecified disorder of synovium and tendon, unspecified site	Unspecified disorder of synovium, tendon, and bursa
016014	Unspecified disorder of synovium and tendon, unspecified site	Late effect of tendon injury
010674	Crepitant synovitis (acute) (chronic), unspecified wrist	Specific bursitides often of occupational origin
010643	Bursitis, unspecified hand	Enthesopathy of wrist and carpus
010641	Olecranon bursitis, unspecified elbow	Olecranon bursitis
010642	Other bursitis of elbow, unspecified elbow	Other enthesopathy of elbow region
010675	Other bursitis of elbow, unspecified elbow	Specific bursitides often of occupational origin
010654	Prepatellar bursitis, unspecified knee	Prepatellar bursitis
010676	Prepatellar bursitis, unspecified knee	Specific bursitides often of occupational origin
010649	Other bursitis of knee, unspecified knee	Enthesopathy of knee, unspecified
010645	Trochanteric bursitis, unspecified hip	Enthesopathy of hip region
010646	Other bursitis of hip, unspecified hip	Enthesopathy of hip region
010767	Unspecified soft tissue disorder related to use, overuse and pressure other	Post-traumatic seroma
010717	Abscess of bursa, unspecified site	Other disorders of synovium, tendon, and bursa
010696	Synovial cyst of popliteal space [Baker], unspecified knee	Synovial cyst of popliteal space
010678	Other bursal cyst, unspecified site	Synovial cyst, unspecified
010694	Other bursal cyst, unspecified site	Other ganglion and cyst of synovium, tendon, and bursa
010712	Calcium deposit in bursa, unspecified site	Calcium deposits in tendon and bursa
010677	Other bursitis, not elsewhere classified, unspecified site	Other bursitis
010718	Other specified bursopathies, unspecified site	Other disorders of synovium, tendon, and bursa
010720	Bursopathy, unspecified	Unspecified disorder of synovium, tendon, and bursa
010732	Palmar fascial fibromatosis [Dupuytren]	Contracture of palmar fascia
010734	Knuckle pads	Other fibromatoses of muscle, ligament, and fascia
010733	Plantar fascial fibromatosis	Plantar fascial fibromatosis
010735	Pseudosarcomatous fibromatosis	Other fibromatoses of muscle, ligament, and fascia
010742	Necrotizing fasciitis	Necrotizing fasciitis
010756	Fibroblastic disorder, unspecified	Fasciitis, unspecified
010628	Adhesive capsulitis of unspecified shoulder	Adhesive capsulitis of shoulder
010629	Unspecified rotator cuff tear or rupture of unspecified shoulder, not specified as traumatic	Disorders of bursae and tendons in shoulder region, unspecified
010633	Incomplete rotator cuff tear or rupture of unspecified shoulder, not specified as traumatic	Partial tear of rotator cuff
010699	Complete rotator cuff tear or rupture of unspecified shoulder, not specified as traumatic	Complete rupture of rotator cuff
010632	Bicipital tendinitis, unspecified shoulder	Bicipital tenosynovitis
010631	Calcific tendinitis of unspecified shoulder	Calcifying tendinitis of shoulder
010635	Calcific tendinitis of unspecified shoulder	Other affections of shoulder region, not elsewhere classified
010636	Impingement syndrome of unspecified shoulder	Other affections of shoulder region, not elsewhere classified
010630	Bursitis of unspecified shoulder	Disorders of bursae and tendons in shoulder region, unspecified
010634	Other shoulder lesions, unspecified shoulder	Other specified disorders of bursae and tendons in shoulder region
010637	Other shoulder lesions, unspecified shoulder	Other affections of shoulder region, not elsewhere classified
010647	Psoas tendinitis, unspecified hip	Enthesopathy of hip region
010648	Iliac crest spur, unspecified hip	Enthesopathy of hip region
010651	Tibial collateral bursitis [Pellegrini-Stieda], unspecified leg	Tibial collateral ligament bursitis
010653	Patellar tendinitis, unspecified knee	Patellar tendinitis
010658	Achilles tendinitis, unspecified leg	Achilles bursitis or tendinitis
010659	Posterior tibial tendinitis, unspecified leg	Tibialis tendinitis
010650	Other specified enthesopathies of unspecified lower limb, excluding foot	Pes anserinus tendinitis or bursitis
010652	Other specified enthesopathies of unspecified lower limb, excluding foot	Fibular collateral ligament bursitis
010655	Other specified enthesopathies of unspecified lower limb, excluding foot	Other enthesopathy of knee
010656	Other specified enthesopathies of unspecified lower limb, excluding foot	Enthesopathy of ankle and tarsus, unspecified
010639	Medial epicondylitis, unspecified elbow	Medial epicondylitis
010640	Lateral epicondylitis, unspecified elbow	Lateral epicondylitis
010644	Periarthritis, unspecified wrist	Enthesopathy of wrist and carpus
010660	Calcaneal spur, unspecified foot	Calcaneal spur
010657	Metatarsalgia, unspecified foot	Enthesopathy of ankle and tarsus, unspecified
010661	Other enthesopathy of unspecified foot	Other enthesopathy of ankle and tarsus
010662	Other enthesopathies, not elsewhere classified	Other peripheral enthesopathies
010663	Enthesopathy, unspecified	Enthesopathy of unspecified site
010747	Rheumatism, unspecified	Rheumatism, unspecified and fibrositis
010749	Myalgia	Myalgia and myositis, unspecified
010752	Neuralgia and neuritis, unspecified	Neuralgia, neuritis, and radiculitis, unspecified
010753	Panniculitis, unspecified	Panniculitis, unspecified site
010755	Panniculitis, unspecified	Panniculitis, other site
010754	Hypertrophy of (infrapatellar) fat pad	Hypertrophy of fat pad, knee
010758	Residual foreign body in soft tissue	Residual foreign body in soft tissue
010757	Pain in unspecified limb	Pain in limb
010475	Pain in unspecified hand	Pain in joint, hand
010476	Pain in unspecified finger(s)	Pain in joint, hand
010750	Fibromyalgia	Myalgia and myositis, unspecified
010759	Nontraumatic compartment syndrome of unspecified upper extremity	Nontraumatic compartment syndrome of upper extremity
010760	Nontraumatic compartment syndrome of unspecified lower extremity	Nontraumatic compartment syndrome of lower extremity
010761	Nontraumatic compartment syndrome of abdomen	Nontraumatic compartment syndrome of abdomen
010762	Nontraumatic compartment syndrome of other sites	Nontraumatic compartment syndrome of other sites
010768	Nontraumatic hematoma of soft tissue	Nontraumatic hematoma of soft tissue
010763	Other specified soft tissue disorders	Swelling of limb
010769	Other specified soft tissue disorders	Other disorders of soft tissue
010766	Soft tissue disorder, unspecified	Disorders of soft tissue, unspecified
010878	Age-related osteoporosis with current pathological fracture, vertebra(e), initial encounter for fracture	Pathologic fracture of vertebrae
010869	Age-related osteoporosis without current pathological fracture	Osteoporosis, unspecified
